name,desc,website,location,employees,raised,angel_url,angel_id
BISON,Changing how you see private equity,https://angel.co/bison,Boston,11-50,"$1,235,000",http://www.bison.co,27212
B12,Human-assisted AI for web design,https://angel.co/b12,New York City,11-50,"$12,400,000",https://b12.io/,806019
UrbanSitter,Your community's most trusted babysitters and nannies. On-demand.,https://angel.co/urbansitter,San Francisco,11-50,"$22,400,000",https://www.urbansitter.com,21275
Standard Cyborg,The API for the Physical World,https://angel.co/standard-cyborg,San Francisco,1-10,-,http://standardcyborg.com,431970
Instaread,Enrich human lives through voice,https://angel.co/instaread,San Francisco,11-50,"$1,675,000",http://instaread.co,581757
Apptentive,We help companies communicate better with their mobile customers.,https://angel.co/apptentive,Seattle,11-50,"$10,115,000",http://www.apptentive.com,21073
Carta,Modern Equity Management,https://angel.co/eshares,Palo Alto,201-500,"$67,550,000",http://www.carta.com,115777
Kelvin,Intelligent Control for Natural Resource Operations,https://angel.co/kelvin-6,San Francisco,11-50,-,http://kelvininc.com,183382
The Human Diagnosis Project,Worldwide effort to understand the best steps to help any patient.,https://angel.co/the-human-diagnosis-project,Earth,11-50,-,http://www.humandx.org,306942
GOAT - Sneaker Marketplace,The safest way to buy and sell sneakers on mobile.,https://angel.co/goatapp,Los Angeles,201-500,"$97,600,000",http://www.goat.com,45495
Zipline,Real-time Operations for Retail,https://angel.co/retailzipline,San Francisco,11-50,-,http://www.retailzipline.com,584082
Siftery,"Share products you use at work, explore what others are using",https://angel.co/siftery,San Francisco,11-50,"$4,000,000",https://siftery.com,867984
Panorama Education,Helping schools improve through data analytics,https://angel.co/panorama-education,Boston,51-200,"$16,000,000",http://panoramaed.com,256206
Altos Ventures,A different approach to venture capital,https://angel.co/altos-ventures-2,Menlo Park,1-10,-,http://www.altos.vc,2587601
Renoviso,Ecommerce for home renovation projects,https://angel.co/renoviso,Boston,11-50,"$11,900,000",https://renoviso.com,685058
TrendMD,Knowledge discovery for doctors,https://angel.co/trendmd,San Francisco,11-50,-,https://www.trendmd.com/,112410
PlanGrid,Bridging the gap between good software and the construction industry,https://angel.co/plangrid,San Francisco,201-500,"$59,100,000",http://www.plangrid.com,85839
MURAL,Visual workspace that helps you design together,https://angel.co/mural,San Francisco,11-50,"$2,075,000",http://www.mural.co,23166
Instawork,Local jobs marketplace (YC S15),https://angel.co/instawork,San Francisco,,-,http://www.instawork.com,837595
x.ai,x.ai  is a personal assistant who schedules meetings for you.,https://angel.co/x-ai,New York City,51-200,"$34,300,000",http://x.ai,396021
Roam Analytics,Machine Intelligence for Human Health,https://angel.co/roam-analytics,San Mateo,,"$11,345,000",http://roamanalytics.com,686236
Equidate,The stock market for private companies.,https://angel.co/equidate,San Francisco,11-50,"$3,500,000",https://equidateinc.com/,330569
Stripe,The new standard in online payments.,https://angel.co/stripe,San Francisco,1001-5000,"$343,000,000",https://stripe.com/,37232
Memebox,Beauty Full Stack E-Commerce,https://angel.co/memebox,San Francisco,51-200,"$156,200,000",http://us.memebox.com,431924
CareGuide,"Sitter.com, Housekeeper.com, PetSitter.com, ElderCare.com, and HouseSitter.com",https://angel.co/careguide,Toronto,11-50,"$5,550,000",http://careguide.com,77251
Axiom Zen,Shape the impact of emerging technology,https://angel.co/axiomzen,Vancouver,51-200,-,http://www.axiomzen.co/,147694
Airfox,Access to financial services for the unbanked in emerging markets,https://angel.co/airfox,Boston,11-50,-,http://www.airfox.com,1026636
Codecademy,The Easiest Way to Learn to Code,https://angel.co/codecademy,New York City,11-50,"$42,500,000",http://www.codecademy.com/,57028
Jukely,Get into a different concert every week from $25/mo,https://angel.co/jukely,New York City,11-50,"$11,300,000",http://jukely.com,111636
Gridspace,Software that understands and automates real-time conversation,https://angel.co/gridspace,San Francisco,11-50,-,http://www.gridspace.com/,523636
Paribus,"Get money when prices drop, effortlessly",https://angel.co/paribusco,Brooklyn,11-50,-,https://paribus.co/,681264
CapLinked,Information Security Without Limits,https://angel.co/caplinked,Los Angeles,11-50,"$2,970,000",https://www.caplinked.com/,12650
Fleksy,"Touch typing, re-invented",https://angel.co/fleksy,San Francisco,11-50,"$5,900,000",http://fleksy.com/,103541
Variable,Professional IoT Platform,https://angel.co/variable,Chattanooga,11-50,"$3,250,000",http://www.variableinc.com,102830
FIGS,100% Awesome Medical Apparel,https://angel.co/figs,Los Angeles,1-10,"$10,000,000",http://www.wearfigs.com,103036
boldstart ventures,first check. enterprise founders. seed vc,https://angel.co/boldstart-ventures,New York City,1-10,"$47,000,000",http://www.boldstart.vc,104708
Listen Ventures,-,https://angel.co/listen-ventures-1,-,1-10,-,http://www.listen.co,104232
Procured Health,Making the medical device market efficient,https://angel.co/procured-health-1,Chicago,-,"$16,375,000",http://www.procuredhealth.com,104504
Quikly,A digital marketing platform that motivates consumers to react...Quikly.,https://angel.co/quikly,Detroit,11-50,"$5,613,396",http://www.quikly.com,105593
Plumzi,-,https://angel.co/plumzi,Silicon Valley,11-50,-,http://www.plumzi.com,105699
Blue Box,Cloud Hosting and Managed Services For The Internet's Critical Apps,https://angel.co/blue-box,Seattle,51-200,"$31,700,000",http://blueboxcloud.com,106445
Pathful,"Content Marketing Intelligence, ROI, and Analytics",https://angel.co/pathful,Vancouver,1-10,"$400,000",http://www.pathful.com,106308
App.io,Interactive streaming like never before.,https://angel.co/app-io,San Francisco,1-10,"$1,180,000",http://app.io,102051
Hornet Networks,Gay Social Network,https://angel.co/hornet,New York City,51-200,"$8,000,000",http://www.gethornet.com,103002
Close.io,Inside Sales Communication Platform. Helps sales people close more deals. Y Combinator.,https://angel.co/close-io,San Francisco,11-50,-,http://close.io/,103032
StrikeAd,-,https://angel.co/strikead,New York City,-,"$7,003,898",http://www.strikead.com,103776
Raptor Ventures,-,https://angel.co/raptor-ventures,Boston,-,-,http://www.raptorventures.com,102596
Joist,Estimating & Invoicing Tool for Contractors,https://angel.co/joist,San Francisco,11-50,-,http://www.joist.com,103703
Urban Remedy,Organic foods and fresh pressed juices,https://angel.co/urban-remedy,Richmond,11-50,"$6,000,000",http://www.urbanremedy.com,104563
Guardly,Mobile/Cloud Life Safety Solutions for Enterprise,https://angel.co/guardly,Toronto,11-50,"$1,689,300",https://www.guardly.com,106063
Dealflicks,Priceline for movie tickets,https://angel.co/dealflicks,San Francisco,11-50,"$4,600,000",http://www.dealflicks.com,104489
AgSquared,Enterprise platform for global agriculture,https://angel.co/agsquared,Washington DC,1-10,"$1,200,000",http://www.agsquared.com,106508
Health Gorilla,First Clinical Network solving Healthcare Interopreability,https://angel.co/health-gorilla,Sunnyvale,11-50,"$4,325,000",https://www.healthgorilla.com,102399
HighlightCam,Automatically edits videos and images on your phone,https://angel.co/highlightcam,Mountain View,11-50,"$3,000,000",http://highlightcam.com,103843
Securly,Security for schools & families,https://angel.co/securly,Charlotte,11-50,"$4,000,000",http://www.securly.com,102724
RocketBank,Simple & honest direct bank in Russia,https://angel.co/rocketbank,Moscow,51-200,"$2,000,000",https://rocketbank.ru,103581
Alminder,"Mobile, smart, contextual Calendaring",https://angel.co/alminder,Palo Alto,1-10,"$1,525,000",http://mynd.me,104021
Discoverly,Put Social to Work,https://angel.co/discoverly,San Francisco,1-10,"$750,000",http://Discover.ly,104133
BeRecruited,LinkedIn/Match.com for College Athletic Recruiting,https://angel.co/berecruited,San Francisco,11-50,"$1,200,000",http://berecruited.com,103791
kompany,Provides real-time access to commercial register data,https://angel.co/kompany,Vienna,11-50,"$2,100,000",https://www.kompany.com/,104702
Sprint.ly,Development Resource Planning,https://angel.co/sprint-ly,Portland,1-10,"$500,000",https://sprint.ly,105017
Aereo,-,https://angel.co/aereo,New York City,-,"$97,000,000",http://aereo.com/home,104495
Sefaira,Software for high performance building design,https://angel.co/sefaira,London,11-50,"$20,000,000",http://www.sefaira.com,105539
Sense,Enterprise Data Science Platform,https://angel.co/sense,San Francisco,1-10,"$11,260,000",https://sense.io,105875
Tubular Labs,The Standard for Video Intelligence,https://angel.co/tubular-labs,Mountain View,11-50,"$20,750,000",http://www.tubularlabs.com,105740
Meldium,Account & password manager for teams (YC W13),https://angel.co/meldium,San Francisco,11-50,"$16,000,000",https://www.meldium.com,106374
Arc,YCombinator robotics startup,https://angel.co/arc-1,Palo Alto,1-10,-,http://www.arccameras.com,106017
