name,desc,angelListUrl,location,employees,raised,website
Memrise,"Memrise is a Language learning Platform available in iOS, Android and Web.",https://angel.co/memrise,London,51-200,"$6,218,000",http://www.memrise.com
StackShare,"See the best SaaS tools and infrastructure, and who’s using them.",https://angel.co/stackshare,San Francisco,1-10,"$7,000,000",https://stackshare.io
SimplePrints,Create amazing products with your photos,https://angel.co/simpleprints,San Francisco,11-50,"$1,000,000",http://www.getsimpleprints.com
Naytev,(YC S14) A/B testing for how content appears on social media,https://angel.co/naytev,San Francisco,1-10,"$1,300,000",http://www.naytev.com
Gridspace,Software that understands and automates real-time conversation,https://angel.co/gridspace,San Francisco,11-50,-,http://www.gridspace.com/
Clutter,Making the world more convenient.,https://angel.co/clutter,San Francisco,201-500,"$96,300,000",http://clutter.com
The RealReal,The Leader in Luxury Designer Consignment,https://angel.co/the-realreal,-,1001-5000,"$114,300,000",http://www.therealreal.com
Windfall Data,Determining the net worth of every person in the world.,https://angel.co/windfall-data,San Francisco,11-50,-,http://www.windfalldata.com
Calm,Making the world happier and healthier through the superpower of Calm.,https://angel.co/calm,San Francisco,11-50,"$993,000",http://www.calm.com
MakeSpace,Your Closet in the Cloud,https://angel.co/makespace,New York City,1-10,"$56,800,000",https://makespace.com
CardFlight,Accept EMV chip card payments in any mobile app,https://angel.co/cardflight,New York City,11-50,"$5,800,000",https://CardFlight.com
Fathom,Deep Learning to Accelerate Medical Reimbursement,https://angel.co/fathom-health,San Francisco,1-10,-,http://fathomhealth.co
Nima,trust your food ,https://angel.co/nimalabs,San Francisco,11-50,"$17,200,000",http://www.nimasensor.com
DataHero,The fastest easiest way to understand your data,https://angel.co/datahero,Santa Monica,1-10,"$10,250,000",https://datahero.com
InfluxData,The Modern Engine for Metrics and Events,https://angel.co/influxdb-3,San Francisco,11-50,"$24,100,000",https://influxdata.com
Oscar Insurance,"Leveraging technology and data to make insurance simple, intuitive, and human. ",https://angel.co/oscar-insurance,New York City,201-500,"$727,500,000",http://www.hioscar.com
Nextdoor,The private social network for your neighborhood.,https://angel.co/nextdoor,San Francisco,51-200,"$210,200,000",http://www.nextdoor.com
Envoy,Challenging the status quo of workplace technology.,https://angel.co/envoy,San Francisco,51-200,"$15,000,000",https://envoy.com
Fysical Labs,High Accuracy Location Data,https://angel.co/fysical,San Francisco,1-10,"$1,515,000",https://fysical.com/
OfferUp,buy. sell. simple.  ,https://angel.co/offerup,Bellevue,51-200,"$119,000,000",http://www.offerupnow.com
Good Uncle,We Are the Hunters and Gatherers of Delicious.,https://angel.co/gooduncle,New York City,1-10,"$2,200,000",http://www.gooduncle.com
Bloc,Structured online training programs in software development and design.,https://angel.co/bloc,San Francisco,51-200,"$8,000,000",https://www.bloc.io
Sonar,Helping companies drive revenue with mobile messaging,https://angel.co/sonar-5,San Francisco,1-10,-,https://www.sendsonar.com
BetterUp,Personalized leadership development for everyone,https://angel.co/betterup,San Francisco,51-200,"$12,900,000",http://www.betterup.co
Handy,Changing the way people receive and provide home services,https://angel.co/handy-1,New York City,51-200,"$110,700,000",http://www.handy.com
Unity Technologies,-,https://angel.co/unity-technologies,San Francisco,1001-5000,"$17,500,000",http://unity3d.com
Boomerang (Baydin),Email management that actually works. Makers of Boomerang.,https://angel.co/boomerang-baydin,Mountain View,11-50,"$412,000",http://boomerangapp.com
Vida Health,-,https://angel.co/vida-health,-,-,"$18,000,000",-
Clever,"Online Learning Platform Used in Over 70,000 Schools",https://angel.co/clever,San Francisco,51-200,"$43,320,000",https://clever.com
Streak,CRM in your inbox.,https://angel.co/streak,San Francisco,11-50,-,http://www.streak.com
Pathgather,Next-generation learning for enterprise (Techstars '14),https://angel.co/pathgather,New York City,11-50,"$3,618,000",http://www.pathgather.com
BuildZoom,Using AI to build the homes and cities of tomorrow ,https://angel.co/buildzoom,San Francisco,51-200,"$14,318,000",http://www.buildzoom.com
Alloy,Financial services customer onboarding via API,https://angel.co/alloy-2,New York City,,"$3,800,000",http://alloy.co
Chewse,Chewse delivers family-style office meals from the best local restaurants.,https://angel.co/chewse,San Francisco,11-50,"$16,000,000",https://www.chewse.com/
SimplyInsured,Online small business health insurance,https://angel.co/simplyinsured,San Francisco,1-10,"$8,400,000",http://www.simplyinsured.com
Demandbase,-,https://angel.co/demandbase,San Francisco,201-500,"$78,000,000",http://www.demandbase.com
OpenGov,OpenGov is the leading provider of government performance solutions software,https://angel.co/opengov,Redwood City,51-200,"$47,000,000",https://opengov.com/
Instacart,Groceries and home essentials delivered from local stores in 1 hour.,https://angel.co/instacart,San Francisco,201-500,"$574,800,000",http://instacart.com
HotelTonight,Plan Less. Live More.,https://angel.co/hoteltonight,San Francisco,201-500,"$84,270,000",http://www.hoteltonight.com
Joymode,-,https://angel.co/joymode,-,-,"$3,000,000",-
PeerStreet,A marketplace for investing in real estate backed loans,https://angel.co/peerstreet,El Segundo,51-200,"$15,000,000",http://www.peerstreet.com
Matchmade,Intelligent influencer marketing,https://angel.co/shark-punch,Helsinki,11-50,"$3,030,000",http://matchmade.tv/
Fleksy,"Touch typing, re-invented",https://angel.co/fleksy,San Francisco,11-50,"$5,900,000",http://fleksy.com/
Variable,Professional IoT Platform,https://angel.co/variable,Chattanooga,11-50,"$3,250,000",http://www.variableinc.com
FIGS,100% Awesome Medical Apparel,https://angel.co/figs,Los Angeles,1-10,"$10,000,000",http://www.wearfigs.com
boldstart ventures,first check. enterprise founders. seed vc,https://angel.co/boldstart-ventures,New York City,1-10,"$47,000,000",http://www.boldstart.vc
Listen Ventures,-,https://angel.co/listen-ventures-1,-,1-10,-,http://www.listen.co
Procured Health,Making the medical device market efficient,https://angel.co/procured-health-1,Chicago,-,"$16,375,000",http://www.procuredhealth.com
Quikly,A digital marketing platform that motivates consumers to react...Quikly.,https://angel.co/quikly,Detroit,11-50,"$5,613,396",http://www.quikly.com
Plumzi,-,https://angel.co/plumzi,Silicon Valley,11-50,-,http://www.plumzi.com
Blue Box,Cloud Hosting and Managed Services For The Internet's Critical Apps,https://angel.co/blue-box,Seattle,51-200,"$31,700,000",http://blueboxcloud.com
Pathful,"Content Marketing Intelligence, ROI, and Analytics",https://angel.co/pathful,Vancouver,1-10,"$400,000",http://www.pathful.com
App.io,Interactive streaming like never before.,https://angel.co/app-io,San Francisco,1-10,"$1,180,000",http://app.io
Hornet Networks,Gay Social Network,https://angel.co/hornet,New York City,51-200,"$8,000,000",http://www.gethornet.com
Close.io,Inside Sales Communication Platform. Helps sales people close more deals. Y Combinator.,https://angel.co/close-io,San Francisco,11-50,-,http://close.io/
